State,HighSchool,Bachelor,Advanced
Alabama,0.821,0.22,0.077
Alaska,0.914,0.266,0.09
Arizona,0.842,0.256,0.093
Arkansas,0.824,0.189,0.061
California,0.806,0.299,0.107
Colorado,0.893,0.359,0.127
Connecticut,0.886,0.356,0.155
Delaware,0.874,0.287,0.114
Florida,0.853,0.253,0.09
Georgia,0.839,0.275,0.099
Hawaii,0.904,0.296,0.099
Idaho,0.884,0.239,0.075
Illinois,0.864,0.306,0.117
Indiana,0.866,0.225,0.081
Iowa,0.914,0.251,0.074
Kansas,0.897,0.295,0.102
Kentucky,0.817,0.21,0.085
Louisiana,0.822,0.214,0.069
Maine,0.902,0.269,0.096
Maryland,0.89,0.373,0.16
Massachusetts,0.89,0.382,0.164
Michigan,0.879,0.246,0.094
Minnesota,0.917,0.315,0.103
Mississippi,0.804,0.196,0.071
Missouri,0.868,0.252,0.095
Montana,0.908,0.274,0.083
Nebraska,0.898,0.274,0.088
Nevada,0.839,0.218,0.076
New Hampshire,0.913,0.32,0.112
New Jersey,0.874,0.345,0.129
New Mexico,0.828,0.253,0.104
New York,0.847,0.324,0.14
North Carolina,0.843,0.265,0.088
North Dakota,0.901,0.258,0.067
Ohio,0.876,0.241,0.088
Oklahoma,0.856,0.227,0.074
Oregon,0.891,0.292,0.104
Pennsylvania,0.879,0.264,0.102
Rhode Island,0.847,0.305,0.117
South Carolina,0.836,0.243,0.084
South Dakota,0.899,0.251,0.073
Tennessee,0.831,0.23,0.079
Texas,0.799,0.255,0.085
Utah,0.904,0.285,0.091
Vermont,0.91,0.331,0.133
Virginia,0.866,0.34,0.141
Washington,0.897,0.31,0.111
Washington DC,0.871,0.485,0.28
West Virginia,0.828,0.173,0.067
Wisconsin,0.898,0.257,0.084
Wyoming,0.918,0.238,0.079
